sentiment,Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
continuous,string,@BlackfreeNiken @Cometml @TheDailyRufgh @kettlebellz @CornellCIS @PDH_SciTechNews @datapronetwork @WeAreMarahall @JobPreference @euthman2001 @DrMattCrowson @incomepassivefx @DwarfWiz @Ivan_RodAc @Datascience__ @TurboHire @AthulAjithKumar @MikeTamir @e_arias @Rajathvgopa @analyticsinme @eVisionMedia @NewAgeHardcore @rutasdelnorte @MichaelMallari @ipfconline1 @WaterFront8 @RanjanSinha_ @IQ_mobile @BruceBixler49 @nicktadd @DS_Analytics @PQminds @my3pugs @cuongcz @Psik_Network @fikafuntimes @A4ETechnologies @theomitsa @bartman081523 @ML_Jobs_Feed @labvault @Radharox_99 @teamrework @RavitJain @_DataScienceHub @genericgranola @rohitsharma_co @daveuk4 @rasangarocks @Flexsin @MarcoSarpato @aneesmerchant @tech4raghu @ShreyasHosamane @VisPlastica @asmitty @NomadML @machinelearnflx @MoisesGamio @papakichi_bot @andresvilarino @victorysunday2k @KirkDBorne @knime @Publi_AR @milocamj @CONQ_AI @gerasimoss @MerSicra @GTRudeBoy84 @aiplustraining @davidsheardown @odsc @TechVisorNL @akhiphotography @SashaMTL,time,en es und de nl,discrete,continuous,continuous,@NewAgeHardcore @fikafuntimes @victorysunday2k,"BlackfreeNiken Comet The\ Daily\ Rufgh 👁⃤ Cornell\ Bowers\ Computing\ and\ Information\ Science Philip\ D\ Hughes Data\ Professionals\ Network\ |\ DPN \ We\ Are\ Marshall\ 🥋 Job\ Preference Emma.O.Uthman\ Bolaji Reluctant\ Quant Dave\ Gosley WizDwarf 🇲🇽Ivan\ RodAc🇲🇽 Data\ science TurboHire Athul_AjithKumar Mike\ Tamir,\ PhD Emilio\ Arias Rajath\ V Analytics\ Insight Susan\ Friesen New\ Age\ Hardcore Rutas\ del\ Norte\ Perú Michael\ Mallari ipfconline\ 🇺🇦 🇺🇦\ The\ Human\ Learning Ranjan\ Sinha IQ\ mobile Bruce\ Bixler nicktadd David\ Sobo Pioneering\ Minds Grill-Wife Cuong\ Nguyen\ Tien Psi-k Fikafuntimes👉Nancy\ Tremblay🌹 Analytics\ 4\ Everyone\ LLC Theophano\ Mitsa\ ☦️🇬🇷🇺🇸 Bartman Machine\ Learning\ Jobs\ Feed Vault Radha\ sankaran RE•WORK Ravit\ Jain\ (The\ Ravit\ Show) Data\ Science\ Hub Ramsey\ Elbasheer Rohit\ Sharma David\ Mead\ 大衛\ 米德 Domesticated\ Brain Flexsin\ Inc. Marco\ Sarpato Anees\ Merchant Raghu\ B Shreyas\ Hosamane Vis\ Plastica Aaron\ Smith Machine\ Learning\ Nomad Machine\ Learning Moises\ Gamio papakichi@bot Andres\ Vilariño Victory\ Sunday Kirk\ Borne KNIME Publi\ AR\ 📲 Milo\ Camacho CONQ_AI jerry LJP;https://paper.li/TheLarryJohnPageMyBallDaily#/ GTReala Ai+\ Training Dav.id Open\ Data\ Science TechVisor akhilgopinath Dr.\ Sasha\ Luccioni\ 💻🌎✨",string,continuous,continuous,continuous,continuous,False True,continuous,continuous
,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
-2.777777778,"🎯 Muy interesante y útil este Glosario de Términos de Data Science, de uso habitual para conocerlos de forma adecuada 

✅ Algorithm
✅ Analytics
✅ Bias
✅ Correlation
✅ Data processing
✅ Data sets
...
https://t.co/qRMuC2rSmj https://t.co/kUDSbup33y",@e_arias,4/22/2022 15:36,es,,1,0,,Emilio Arias,Master Big Data and BI Teacher. Stratebi CEO,9078,205,604,72,FALSE,,
-2.083333333," Toxic As Marshall Islands ☢️
#100DaysOfCode #CodeNewbie #WomenWhoCode #Programming #DataScience #AcademicTwitter #MachineLearning #Serverless #ML #IoTPL #Rstats #tech #web3 #FutureOfWork #DevOps #bigdata #CyberSecurity #code #BugBounty #BlackTechTwitter #ArtificialIntelligence https://t.co/S7UEXhuvJk https://t.co/KEWHwGEs2U",@WeAreMarahall,4/22/2022 15:40,en,,3,6,, We Are Marshall 🥋,|| Evoking Marshall Law || 🖋 ||Eminem 📕#TrendingEminem your || 🏷 ||Career Coroner ||🧯|| || Toe Tagging Ho Bags Since ‘95 ||,3842,13,30,1,FALSE,,
4.166666667,"▶️Making #MachineLearning More Accessible for Application Developers!

#AI #ML #Python #tech 
#data #coding #javascript 
#FemTech #Flutter #webdev #CodeNewbie #React #reactjs #Serverless #coding
#DEVCommunity #Linux
#100DaysOfCode 
#100DaysOfMLCode
 https://t.co/tJOHU8NTbc",@fikafuntimes,4/22/2022 15:24,en,,1,6,@fikafuntimes,Fikafuntimes👉Nancy Tremblay🌹,"#Founder #CEO #fikafuntimes #ClothingBrand 
#startup #influencer #shopping #freeshipping #promo📦📬

#ML #AI #VR #Tech #marketing #business  #activewear #shop⬇️",18675,3741,4802,45,FALSE,,
0,¡El último PERSPECTIVAS TURÍSTICAS! https://t.co/Y0QV1RxyIn Gracias a @prensaperupe #machinelearning #tesla,@rutasdelnorte,4/22/2022 15:33,es,,0,0,,Rutas del Norte Perú,"Directora de AG.Rutas del Norte-Peru. publicaciones   bilingüe,  turismo del  del Norte Peruano",1636,254,63,2,FALSE,,
4.761904762,"pyramid of awesome 
#midjourney #aiartcommunity #AIArt #AIartwork #GANart #generativeart #machinelearning #NFT #art https://t.co/vBJ4ydYgpO",@kettlebellz,4/22/2022 15:42,en,,0,0,,👁⃤,Creating text-based generative art. #aiart,1050,87,395,4,FALSE,,
-4.166666667,"invasive morphology

@midjourney #midjourney @images_ai #DigitalArt #aiartist #AIart #surrealism #machinelearning #aiartcommunity #generativeart #fantasyart https://t.co/WjeQZXL1kR",@NewAgeHardcore,4/22/2022 15:33,en,,2,1,@NewAgeHardcore,New Age Hardcore,AI driven art experiments from inside the Latent Legendarium™,309,99,531,10,FALSE,,
-4.166666667,"invasive morphology

@midjourney #midjourney @images_ai #DigitalArt #aiartist #AIart #surrealism #machinelearning #aiartcommunity #generativeart #fantasyart https://t.co/P33Y5GHXu9",@NewAgeHardcore,4/22/2022 15:29,en,,4,2,,New Age Hardcore,AI driven art experiments from inside the Latent Legendarium™,309,99,531,10,FALSE,,
0,a studio portrait photograph of a face.  https://t.co/78PxqANby9 https://t.co/4rQrKOCHLO                                                           #AIart #GenerativeArt #MachineLearning #jetsonnano https://t.co/GtA61BImaF,@VisPlastica,4/22/2022 15:14,en,,0,1,,Vis Plastica,"I am experimental AI generative art running 24/7 on a tiny PC, a painting every ~5 hours. Currently making face collage/photomontages with animals.",427,107,32,1,FALSE,,
